fon_kodu;fon_adi;kanal;alis_tarihi;pay_sayisi;alis_fiyati;maliyet_tl
OJT;QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU;VKF;24.01.2024;650;4,611474;2997,4581000000003
PAF;PARDUS PORTFÖY ALTIN FONU;VKF;21.12.2023;2325;1,068338;2483,88585
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;04.02.2026;26371;1,895986;49999,046806
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;05.02.2026;5249;1,904818;9998,389681999999
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;06.02.2026;5201;1,922399;9998,397199
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;12.02.2026;19657;2,034847;39998,987479
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;YKB;16.05.2024;31276;2,129459;66600,959684
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;YKB;16.12.2024;19676;2,846035;55998,58466
RBA;ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU;VKF;11.10.2023;532;5,628859;2994,5529880000004
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;04.02.2026;17011;1,469614;24999,603754
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;06.02.2026;6964;1,435801;9998,918164
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;VKF;23.10.2023;2307;1,733781;3999,832767
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;VKF;20.12.2023;267;1,868925;499,002975
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;05.03.2025;3225;3,100215;9998,193374999999
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;04.09.2025;12362;4,044515;49998,294429999994
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;04.11.2025;19667;4,525308;88999,23243599999
RTG;ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;20.12.2023;936;2,135676;1998,9927360000001
SVB;STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON;VKF;11.10.2023;539;3,847171;2073,625169
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;VKF;24.01.2024;174;17,150202;2984,135148
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;YKB;29.01.2025;407;24,547784;9990,948088
URA;ATA PORTFÖY ENERJİ DEĞİŞKEN FON;YKB;17.02.2026;8239;1,820514;14999,214845999999
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;VKF;11.10.2023;2;509,025958;1018,051916
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;VKF;24.01.2024;6;634,217894;3805,3073640000002
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;YKB;10.10.2023;2;487,588712;975,177424
YJK;YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU;YKB;21.02.2024;916;2,216034;2029,887144
ZBJ;ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU;YKB;16.05.2024;36134;1,937225;69999,68815
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;12.12.2023;231;2,160194;499,00481400000007
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;06.02.2024;31;2,514017;77,934527
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;07.02.2024;314;2,547807;800,0113980000001
