fon_kodu;kategoriler
LGK;Serbest Özel Fonlar, Özel Fon
LGO;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
LHM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
LHP;Döviz Fon
LKF;Altın Fonları, Emtia Fonları
LKT;Para Piyasası
LLA;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
LPH;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
LTC;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
LTL;Hisse Senedi Yoğun, Yerli Hisse
LZV;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
MAC;Hisse Senedi Yoğun, Yerli Hisse
MAD;K.D.
MAS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MAV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
MBL;K.D.
MBR;K.D.
MCU;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
MD1;K.D.
MD2;K.D.
MDF;Emtia Fonları
MET;Teknoloji, Tematik
MGB;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
MGD;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
MGE;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
MGH;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
MHF;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
MJB;K.D.
MJE;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
MJG;Emtia Fonları, Gümüş Fonları
MJH;K.D.
MJL;Döviz Fon
MKA;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
MKG;Altın Fonları, Emtia Fonları
MKL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
MLS;Serbest Özel Fonlar, Özel Fon
MLT;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MMH;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
MOD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
MOZ;K.D.
MP2;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MP4;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MPD;Döviz Fon
MPE;Para Piyasası
MPF;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
MPI;Serbest İstatistiksel Arbitraj Fonları
MPK;Kira Sertifikaları
MPL;Para Piyasası
MPN;Döviz Fon
MPP;K.D.
MPS;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
MRI;K.D.
MSK;Serbest Özel Fonlar, Özel Fon
MSO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
MT1;Döviz Fon
MT2;Para Piyasası, Serbest Para Piyasası Fonları
MT5;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MT6;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MT7;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MT8;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MT9;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MTD;Teknoloji, Tematik
MTE;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MTF;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
MTG;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
MTH;Hisse Senedi Yoğun, Yerli Hisse
MTI;Serbest Özel Fonlar, Özel Fon
MTK;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
MTL;Mutlak Getiri Hedefli
MTS;Sürdürülebilirlik, Tarım - Gıda, Tematik
MTU;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
MTV;Teknoloji, Tematik
MTX;K.D.
MUT;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
NAK;Altın Fonları, Emtia Fonları
NAU;Altın Fonları, Emtia Fonları
NAV;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
NBH;K.D.
NBO;K.D.
NBZ;Döviz Fon
NCS;Döviz Fon
NCU;Döviz Fon
NDL;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
NES;Serbest Özel Fonlar, Özel Fon
NFF;K.D.
NFH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
NFK;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
NHP;K.D.
NHT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
NHV;Serbest Özel Fonlar, Özel Fon
NHY;Hisse Senedi Yoğun, Yerli Hisse
NIS;Serbest İstatistiksel Arbitraj Fonları
NJF;Altın Fonları, Emtia Fonları
NJR;K.D.
NJY;K.D.
NKA;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
NKC;Hisse Senedi Yoğun, Yerli Hisse
NKH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
NKJ;Serbest Özel Fonlar, Özel Fon
NKL;Kısa Vadeli
NKM;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
NKP;Kar Payı Ödeyen Fonlar
NKT;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
NKV;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
NLC;Döviz Fon
NLD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
NLE;Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
NLK;Kısa Vadeli
NME;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
NMU;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
NNF;Hisse Senedi Yoğun, Yerli Hisse
NOI;Serbest İstatistiksel Arbitraj Fonları
NOV;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
NPH;Hisse Senedi Yoğun, Yerli Hisse
NPK;Serbest Özel Fonlar, Özel Fon
NRC;K.D.
NRG;Para Piyasası
NRM;Döviz Fon
NSA;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
NSD;Döviz Fon
NSH;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
NSK;K.D.
NSP;Para Piyasası
NSS;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz), Serbest Özel Fonlar, Özel Fon
NST;Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
NSY;K.D.
NTB;Serbest Özel Fonlar, Özel Fon
NTD;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
NTI;Teknoloji, Tematik
NTO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
NUB;Döviz Fon
NUG;Döviz Fon
NUH;Hisse Senedi Yoğun, Yerli Hisse
NVB;Para Piyasası
NVC;K.D.
NVK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
NVP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
NVT;K.D.
NVZ;Döviz Fon
NYH;Döviz Fon, Serbest Özel Fonlar, Özel Fon
NZH;K.D.
NZT;Para Piyasası, Serbest Para Piyasası Fonları
NZU;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
OAB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OBI;K.D.
OBN;Döviz Fon
OBP;K.D.
OBR;Döviz Fon
OCM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OCN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OCT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ODD;K.D.
ODG;K.D.
ODN;Döviz Fon
ODP;K.D.
ODS;Döviz Fon
ODV;K.D.
OFA;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
OFB;Serbest İstatistiksel Arbitraj Fonları
OFI;K.D.
OFK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
OFO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OFS;K.D.
OGD;Altın Fonları, Emtia Fonları
OGF;Özel Fon
OGV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OHB;Hisse Senedi Yoğun, Yerli Hisse
OHI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
OHK;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
OIL;Altın Fonları, Emtia Fonları
OIR;K.D.
OIS;Serbest Özel Fonlar, Özel Fon
OJB;Döviz Fon
OJH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
OJK;Altın Fonları, Emtia Fonları
OJT;Teknoloji, Tematik
OJU;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OJY;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OKD;K.D.
OKF;Kar Payı Ödeyen Fonlar
OKP;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
OKT;K.D.
OLA;Döviz Fon
OLD;Sürdürülebilirlik, Tematik
OLE;K.D.
OMB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OMC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OMG;Hisse Senedi Yoğun, Yerli Hisse
ONB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OND;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
ONE;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
ONF;Döviz Fon
ONK;Döviz Fon
ONN;K.D.
ONS;Döviz Fon
ONT;Döviz Fon
ONY;Döviz Fon
OPB;K.D.
OPD;K.D.
OPF;K.D.
OPH;Hisse Senedi Yoğun, Yerli Hisse
OPI;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
OPJ;Para Piyasası
OPL;K.D.
OPZ;Serbest Özel Fonlar, Özel Fon
ORC;K.D.
ORI;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OSD;Borçlanma Araçları - Özel Sektör
OSL;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
OTE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OTF;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
OTJ;K.D.
OTK;Serbest Katılım Fonları
OTM;Tematik
OTZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OUD;Döviz Fon
OUN;Döviz Fon
OUR;Döviz Fon
OUY;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OVD;Emtia Fonları
OVR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
OYL;Para Piyasası
OZC;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
P1A;Para Piyasası, Serbest Para Piyasası Fonları
PA2;Altın Fonları, Emtia Fonları
PAB;Para Piyasası
PAC;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
PAF;Altın Fonları, Emtia Fonları
PAI;Mutlak Getiri Hedefli, Özel Fon
PAL;Döviz Fon
PAO;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PAU;Döviz Fon
PBF;Serbest Özel Fonlar, Özel Fon
PBH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PBI;K.D.
PBK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
PBN;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PBR;K.D.
PBS;Döviz Fon
PBY;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
PCE;K.D.
PCH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PCN;Döviz Fon
PCS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PDC;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PDD;K.D.
PDE;Serbest Katılım Fonları
PDF;Döviz Fon
PDG;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PDH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PDR;Serbest Özel Fonlar, Sürdürülebilirlik, Tematik, Özel Fon
PEA;Altın Fonları, Emtia Fonları
PFO;K.D.
PFS;K.D.
PGD;K.D.
PGE;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PGH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PGS;Hisse Senedi Yoğun, Yerli Hisse
PHB;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PHE;Hisse Senedi Yoğun, Yerli Hisse
PHF;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
PHI;Hisse Senedi Yoğun, Yerli Hisse
PHK;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
PHN;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PHS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PHY;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PID;K.D.
PIL;Teknoloji, Tematik
PIP;Para Piyasası, Serbest Para Piyasası Fonları
PIR;Altın Fonları, Emtia Fonları
PIS;Kısa Vadeli
PJL;Para Piyasası
PJP;Döviz Fon
PK1;K.D.
PKD;Serbest Katılım Fonları
PKF;Altın Fonları, Emtia Fonları
PKH;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
PKL;Serbest Katılım Fonları
PKM;Para Piyasası
PKN;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PKP;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
PKR;Para Piyasası
PKT;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
PKU;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PKV;Kısa Vadeli
PKZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PLA;Özel Fon
PLR;Para Piyasası
PLS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
PMG;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
PMH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PMP;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PNU;Para Piyasası
PO7;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PO8;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PO9;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
POB;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
POD;Döviz Fon
POF;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
POH;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
POI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
POS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
POU;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PP1;K.D.
PPB;Hisse Senedi Yoğun, Yerli Hisse
PPD;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PPE;Döviz Fon
PPG;Para Piyasası
PPH;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
PPI;Para Piyasası
PPJ;Para Piyasası, Serbest Para Piyasası Fonları
PPK;Para Piyasası
PPM;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
PPN;Para Piyasası
PPO;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PPP;Para Piyasası
PPS;K.D.
PPT;Para Piyasası
PPV;Para Piyasası, Serbest Para Piyasası Fonları
PPZ;Para Piyasası
PRD;Para Piyasası
PRF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
PRH;Para Piyasası
PRR;Para Piyasası
PRU;Kısa Vadeli
PRV;Para Piyasası, Serbest Para Piyasası Fonları
PRY;Para Piyasası
PSD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
PSE;Para Piyasası, Serbest Para Piyasası Fonları
PSH;Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
PSL;K.D.
PSO;Serbest Özel Fonlar, Özel Fon
PSR;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PST;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PTC;Döviz Fon
PTE;Para Piyasası, Serbest Para Piyasası Fonları
PTF;K.D.
PTG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
PTL;Para Piyasası
PTN;Altın Fonları, Emtia Fonları
PTO;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
PTP;Para Piyasası
PTS;Para Piyasası, Serbest Para Piyasası Fonları
PUA;Serbest Özel Fonlar, Özel Fon
PUC;Kısa Vadeli
PUH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PUK;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
PUR;Para Piyasası, Serbest Para Piyasası Fonları
PUT;Serbest Özel Fonlar, Özel Fon
PUV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
PVK;Kısa Vadeli, Serbest Katılım Fonları
PYB;Para Piyasası
PYD;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PYF;Serbest Özel Fonlar, Özel Fon
PYH;Serbest Katılım Fonları
PYI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PYR;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
PYS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
RAF;K.D.
RAI;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
RAN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
RAY;Serbest Özel Fonlar, Özel Fon
RBA;Altın Fonları, Emtia Fonları
RBB;K.D.
RBF;K.D.
RBH;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
RBI;Döviz Fon
RBK;K.D.
RBL;Blockchain, Teknoloji, Tematik
RBN;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RBP;Para Piyasası
RBR;Serbest Katılım Fonları
RBT;Kira Sertifikaları
RBV;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
RCL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
RCS;Serbest Özel Fonlar, Özel Fon
RCV;K.D.
RD1;K.D.
RDF;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RDH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RDK;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
RDT;K.D.
RDZ;Döviz Fon
RE6;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RE7;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RE8;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RFM;K.D.
RGD;K.D.
RGH;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
RHI;Hisse Senedi Yoğun, Yerli Hisse
RHS;Hisse Senedi Yoğun, Yerli Hisse
RIA;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
RIH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RIK;K.D.
RJG;Altın Fonları, Emtia Fonları
RKC;K.D.
RKH;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
RKL;Serbest Özel Fonlar, Özel Fon
RKS;Kira Sertifikaları
RKV;Kısa Vadeli, Serbest Katılım Fonları
RLH;K.D.
RO1;Para Piyasası, Serbest Para Piyasası Fonları
ROD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ROF;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
ROY;Serbest Katılım Fonları
RPC;Sürdürülebilirlik, Tematik
RPD;K.D.
RPG;Altın Fonları, Emtia Fonları
RPI;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
RPK;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz), Serbest Özel Fonlar, Özel Fon
RPL;K.D.
RPM;Sağlık - İlaç, Teknoloji, Tematik
RPN;K.D.
RPO;Serbest Özel Fonlar, Özel Fon
RPP;Para Piyasası
RPS;Döviz Fon
RPT;K.D.
RPU;Kısa Vadeli, Serbest Katılım Fonları
RPX;Döviz Fon
RRA;Para Piyasası, Serbest Para Piyasası Fonları
RRP;Para Piyasası
RS1;Kısa Vadeli
RSF;Serbest İstatistiksel Arbitraj Fonları
RSK;K.D.
RSZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RTA;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RTD;Teknoloji, Tematik
RTG;Teknoloji, Tematik
RTH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RTI;Kısa Vadeli, Serbest Katılım Fonları
RTP;K.D.
RUH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RUT;Teknoloji, Tematik
RVS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RYA;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
RYB;Döviz Fon
RYF;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
RYU;Döviz Fon
RZR;Serbest Özel Fonlar, Özel Fon
SAP;Para Piyasası
SAR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SAS;Hisse Senedi Yoğun, Holding, Tematik Hisse, Yerli Hisse
SAT;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
SBH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
SBS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SD1;K.D.
SDA;Döviz Fon
SEH;Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
SER;Döviz Fon
SFS;K.D.
SGT;Teknoloji, Tematik
SHC;K.D.
SHE;K.D.
SHI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
SHU;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
SIA;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
SIS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
SJP;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
SKL;Para Piyasası
SKO;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
SKS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SKT;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
SKZ;K.D.
SLF;Para Piyasası
SLG;Hisse Senedi Yoğun, Yerli Hisse
SLR;Serbest Özel Fonlar, Özel Fon
SMP;Kar Payı Ödeyen Fonlar, Serbest Özel Fonlar, Özel Fon
SNY;Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
SOS;Sağlık - İlaç, Tematik
SPA;Döviz Fon
SPD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SPE;Döviz Fon
SPN;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
SPP;Para Piyasası
SPR;K.D.
SPT;K.D.
SRA;Serbest Özel Fonlar, Özel Fon
SRE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SRL;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
SRO;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
SSD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SSK;Sağlık - İlaç, Tematik
SSN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
SSO;Serbest Özel Fonlar, Özel Fon
SSS;Hisse Senedi Yoğun, Yerli Hisse
SST;Serbest İstatistiksel Arbitraj Fonları
ST1;Hisse Senedi Yoğun, Yerli Hisse
STI;K.D.
STS;Döviz Fon
STZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
SUA;K.D.
SUB;K.D.
SUC;K.D.
SUR;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
SVB;K.D.
SVS;Serbest Özel Fonlar, Özel Fon
SVY;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
SYF;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
SYL;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
SYR;Döviz Fon
SYS;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
T3B;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
TAL;Altın Fonları, Emtia Fonları
TAO;Özel Fon
TAR;Tarım - Gıda, Teknoloji, Tematik
TAU;Bankacılık, Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
TAZ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
TB9;Döviz Fon
TBP;Özel Fon
TBT;K.D.
TBV;Borçlanma Araçları - Özel Sektör
TCA;Altın Fonları, Emtia Fonları
TCB;Para Piyasası
TCC;Döviz Fon
TCD;K.D.
TCF;K.D.
TCG;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
TCI;Serbest İstatistiksel Arbitraj Fonları
TCS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
TDG;Yabancı Fonlar
TDP;Döviz Fon
TE3;Mutlak Getiri Hedefli
TE4;K.D.
TEJ;Teknoloji, Tematik
TFE;Özel Fon
TFF;Teknoloji, Tematik, Yabancı BYF Sepetleri, Yabancı Fonlar
TFU;K.D.
TGA;K.D.
TGE;Emtia Fonları, Yabancı BYF Sepetleri, Yabancı Fonlar
TGN;Para Piyasası, Serbest Para Piyasası Fonları, Serbest Özel Fonlar, Özel Fon
TGR;Tematik
TGT;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
TGV;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
THD;Hisse Senedi Yoğun, Yerli Hisse
THF;Hisse Senedi Yoğun, Yerli Hisse
THG;Serbest Özel Fonlar, Özel Fon
THH;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
THO;Döviz Fon
THS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
THT;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
THV;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
TI1;Para Piyasası
TI2;Hisse Senedi Yoğun, Yerli Hisse
TI3;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Holding, Tematik Hisse, Yerli Hisse
TI4;K.D.
TI6;K.D.
TI7;K.D.
TIE;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
TIL;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
TIP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
TIV;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
TJB;Serbest Özel Fonlar, Özel Fon
TJF;Sürdürülebilirlik, Tematik
TJI;K.D.
TJL;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
TJT;Döviz Fon
TKF;Hisse Senedi Yoğun, Yerli Hisse
TKH;Serbest Özel Fonlar, Özel Fon
TKK;Özel Fon
TKM;Para Piyasası
