fon_kodu;kategoriler
DDA;Bankacılık, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
DDC;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DDE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DDF;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DDP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DDS;Serbest Özel Fonlar, Özel Fon
DEF;K.D.
DEI;Kısa Vadeli, Serbest Katılım Fonları
DFC;Tarım - Gıda, Tematik
DFD;Emtia Fonları
DFI;K.D.
DFO;Serbest Özel Fonlar, Özel Fon
DGF;K.D.
DGH;Para Piyasası, Serbest Para Piyasası Fonları
DHI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DHJ;Hisse Senedi Yoğun, Teknoloji, Tematik Hisse, Yerli Hisse
DHM;Sürdürülebilirlik, Tematik
DHP;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
DHS;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
DHT;Teknoloji, Tematik
DHV;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DID;K.D.
DIH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DIM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DIP;Para Piyasası, Serbest Para Piyasası Fonları
DK1;Kısa Vadeli, Serbest Katılım Fonları
DK8;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DKA;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DKC;K.D.
DKH;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
DKL;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
DKP;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DKR;K.D.
DKS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DKY;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DL2;Para Piyasası
DLD;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
DLG;Sürdürülebilirlik, Tematik
DLY;Para Piyasası
DLZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DMG;Emtia Fonları, Gümüş Fonları
DMR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DMV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DMZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DNA;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
DNF;K.D.
DNH;Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
DNK;Serbest Katılım Fonları
DNL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DNM;Döviz Fon
DNP;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
DNU;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DOC;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DOD;Döviz Fon
DOH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DOL;Döviz Fon
DOR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DOS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DOV;Döviz Fon
DP1;Serbest Özel Fonlar, Özel Fon
DP2;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DP3;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DP4;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DP5;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DP6;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DP7;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DP8;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DP9;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DPB;Döviz Fon
DPC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DPE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DPG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
