fon_kodu;fon_adi;kanal;islem_tipi;tarih;pay_sayisi;fiyat
RTG;ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;936;2.135676
GZY;GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;349;3.571676
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;100;6.844785
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;1345;0.371695
BVV;BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;1131;1.132741
GSP;AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-12-20;6367;0.235556
IJA;INVEO PORTFÖY ATAK DEĞİŞKEN FON;VKF;ALIM;2023-12-20;314;5.41248
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;810;1.850099
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;267;1.868925
TCD;TACİRLER PORTFÖY DEĞIŞKEN FON;VKF;SATIM;2023-12-21;66;24.815747
SVB;STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON;VKF;SATIM;2023-12-21;500;3.391512
PAF;PARDUS PORTFÖY ALTIN FONU;VKF;ALIM;2023-12-21;2325;1.068338
GZG;GARANTİ PORTFÖY SAĞLIK VE GENETİK TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;SATIM;2023-12-22;780;3.252061
AOY;AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU;VKF;ALIM;2023-12-22;7115;0.210798
MJG;AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU;VKF;ALIM;2023-12-22;731;2.735101
IJZ;İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;ALIM;2024-01-24;436;5.727642
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;VKF;ALIM;2024-01-24;174;17.150202
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;VKF;ALIM;2024-01-24;6;634.217894
OJT;QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU;VKF;ALIM;2024-01-24;650;4.611474
DVT;DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;ALIM;2024-01-24;730;3.421894
IRF;İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU;VKF;ALIM;2024-01-24;7593;2.633849
AOY;AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU;VKF;SATIM;2024-01-25;7115;0.191231
ICZ;AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-01-31;1240;4.072414
DHJ;DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;831;4.810585
HKH;HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;558;5.375577
MAC;MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;6489;0.462296
BID;QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;482;2.073912
TTE;İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON;YKB;ALIM;2024-02-05;5284;0.756913
NNF;HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;216;13.862483
YHB;YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;968;1.238137
DTL;DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-02-05;451;2.21493
YHZ;YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN;YKB;ALIM;2024-02-05;1032;3.873716
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;ALIM;2024-02-06;31;2.514017
IRF;İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU;YKB;ALIM;2024-02-07;359;2.78064
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;ALIM;2024-02-07;314;2.547807
OLD;QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU;VKF;SATIM;2024-02-08;789;1.884461
ZJL;ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-02-20;200;8.234129
ZJL;ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2024-02-20;100;8.234129
YHB;YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-02-20;968;1.33438
IDH;İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-02-20;545;7.130702
GOH;GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-02-20;215;9.43449
GOH;GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2024-02-20;106;9.43449
DTL;DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-02-20;451;2.402912
BID;QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-02-20;482;2.284739
KPP;KARE PORTFÖY PARA PİYASASI FONU;VKF;ALIM;2024-02-20;4521;1.057376
IEV;İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON;YKB;ALIM;2024-02-21;278;2.69201
GZY;GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON;YKB;ALIM;2024-02-21;124;4.031382
YJK;YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU;YKB;ALIM;2024-02-21;916;2.216034
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2024-02-21;287;6.960054
KPP;KARE PORTFÖY PARA PİYASASI FONU;VKF;SATIM;2024-02-22;1038;1.059901
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;KVT;ALIM;2024-02-22;238;8.36312
PAF;PARDUS PORTFÖY ALTIN FONU;YKB;ALIM;2024-02-29;821;1.217783
GGK;INVEO PORTFÖY ALTIN FON;YKB;ALIM;2024-02-29;229;4.364437
GGK;INVEO PORTFÖY ALTIN FON;YKB;ALIM;2024-02-29;57;4.364437
MKG;AKTİF PORTFÖY ALTIN KATILIM FONU;KVT;ALIM;2024-02-29;184;5.430761
OJK;QNB PORTFÖY ALTIN FONU;YKB;ALIM;2024-02-29;731;4.099457
OJK;QNB PORTFÖY ALTIN FONU;YKB;ALIM;2024-02-29;48;4.099457
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;KVT;ALIM;2024-02-29;117;8.495812
KPP;KARE PORTFÖY PARA PİYASASI FONU;VKF;SATIM;2024-03-04;3483;1.074255
SAS;AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-03-06;1000;1.0
SAS;AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-03-11;971;1.029673
YKT;YAPI KREDİ PORTFÖY ALTIN FONU;YKB;ALIM;2024-03-11;6452;0.309954
KPP;KARE PORTFÖY PARA PİYASASI FONU;VKF;ALIM;2024-03-25;6182;1.103142
ZBJ;ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU;VKF;ALIM;2024-03-25;8329;1.800914
IRF;İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU;VKF;ALIM;2024-03-26;4707;2.974119
EYT;AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU;VKF;ALIM;2024-03-26;27863;1.291954
EIL;ASTRA PORTFÖY PARA PİYASASI (TL) FONU;YKB;ALIM;2024-03-29;3580;1.820758
ZBJ;ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU;VKF;SATIM;2024-04-22;8329;1.872524
KPP;KARE PORTFÖY PARA PİYASASI FONU;VKF;SATIM;2024-04-22;6182;1.146151
EIL;ASTRA PORTFÖY PARA PİYASASI (TL) FONU;YKB;SATIM;2024-04-22;3580;1.882105
DHJ;DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2024-05-14;831;5.44192
